course_id,course_short_title,course_long_title,learner_id,certification_id,certified,country,learner_qualification,learners_year_of_birth,age,gender,grade,start_time_DI,last_event_DI,number_of_days_active,number_of_chapters,number_of_forum_post,incomplete_flag
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130454443,652102,0,Brazil,Secondary,1990,23,m,0,30-04-2013,30-04-2013,1,10,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130460115,625622,0,Middle East,Secondary,1990,23,m,0,30-04-2013,28-05-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130120661,916272,0,Canada,Bachelor's,1990,23,f,0.35,30-04-2013,16-06-2013,3,10,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130588121,311862,0,United States,Secondary,1990,23,f,0.88,31-05-2013,30-04-2013,1,10,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130494440,298558,0,China,Bachelor's,1990,23,m,0,02-05-2013,12-07-2013,3,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130344218,745107,0,United States,Secondary,1990,23,f,0,07-05-2013,09-05-2013,3,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130223253,269816,1,United Kingdom,Bachelor's,1990,23,f,0.67,11-05-2013,26-08-2013,24,26,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130281199,458838,0,India,Bachelor's,1990,23,f,0,03-05-2013,11-05-2013,2,10,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130472737,790903,0,Colombia,Master's,1990,23,m,0,03-05-2013,08-05-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130329880,466981,0,Canada,Bachelor's,1990,23,m,0,03-05-2013,03-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130370431,756536,0,Europe,Bachelor's,1990,23,f,0,03-05-2013,03-05-2013,1,14,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130559500,854393,0,Germany,Secondary,1990,23,f,0,13-05-2013,13-06-2013,2,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130496681,163750,0,United States,Master's,1990,23,f,0,29-05-2013,31-05-2013,3,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130534868,855213,0,United Kingdom,Secondary,1990,23,f,0,05-05-2013,08-05-2013,3,13,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130383538,984618,0,United Kingdom,Bachelor's,1990,23,f,0,06-05-2013,06-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130239215,995790,0,India,Bachelor's,1990,23,f,0,06-05-2013,06-05-2013,1,9,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130406359,958185,0,United States,Secondary,1990,23,f,0,06-05-2013,06-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130113511,169348,0,Europe,Bachelor's,1990,23,f,0,25-07-2013,25-07-2013,1,7,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130361594,343287,0,India,Bachelor's,1990,23,f,0,07-05-2013,07-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130044402,957965,0,India,Bachelor's,1990,23,m,0.38,07-05-2013,07-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130576766,802342,0,United Kingdom,Bachelor's,1990,23,m,0,07-05-2013,07-05-2013,1,7,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130253139,793508,0,United States,Bachelor's,1990,23,f,0,07-05-2013,08-05-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130340809,828448,0,Africa,Secondary,1990,23,f,0,08-05-2013,08-05-2013,1,13,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130311360,229592,0,Spain,Bachelor's,1990,23,f,0,08-05-2013,24-06-2013,7,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130323348,331895,0,United Kingdom,Master's,1990,23,m,0,08-05-2013,08-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130557958,946110,0,United Kingdom,Bachelor's,1990,23,f,0,08-05-2013,08-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130447858,743446,0,France,Bachelor's,1990,23,m,0,09-05-2013,09-05-2013,1,14,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130391084,881350,0,United States,Secondary,1990,23,m,0,12-05-2013,19-05-2013,3,3,0,0
